id;name;geoid;geoname;DM;datetime;;;;;;;
600;Precio mercado SPOT Diario;3;España;61.5;2015-01-08T00:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;59.82;2015-01-08T01:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;57.9;2015-01-08T02:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;55;2015-01-08T03:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;54.56;2015-01-08T04:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;57.59;2015-01-08T05:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;60.89;2015-01-08T06:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;67.5;2015-01-08T07:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;69.1;2015-01-08T08:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;74.69;2015-01-08T09:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;75.96;2015-01-08T10:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;73.6;2015-01-08T11:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;69.96;2015-01-08T12:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;68;2015-01-08T13:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;65.1;2015-01-08T14:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;64.89;2015-01-08T15:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;66.49;2015-01-08T16:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;67.73;2015-01-08T17:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;71.46;2015-01-08T18:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;74.69;2015-01-08T19:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;71;2015-01-08T20:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;66.49;2015-01-08T21:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;63.31;2015-01-08T22:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;60;2015-01-08T23:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;56.73;2015-01-09T00:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;50.25;2015-01-09T01:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;48.89;2015-01-09T02:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;49.14;2015-01-09T03:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;49.14;2015-01-09T04:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;50.6;2015-01-09T05:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;59.82;2015-01-09T06:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;67.69;2015-01-09T07:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;69.19;2015-01-09T08:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;73.02;2015-01-09T09:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;75.69;2015-01-09T10:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;73;2015-01-09T11:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;70.2;2015-01-09T12:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;69;2015-01-09T13:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;65;2015-01-09T14:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;64.99;2015-01-09T15:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;67.52;2015-01-09T16:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;69;2015-01-09T17:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;70.15;2015-01-09T18:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;71;2015-01-09T19:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;69;2015-01-09T20:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;65.01;2015-01-09T21:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;63.05;2015-01-09T22:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;59.33;2015-01-09T23:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;45.28;2015-01-10T00:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;44.96;2015-01-10T01:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;43.05;2015-01-10T02:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;43;2015-01-10T03:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;43.83;2015-01-10T04:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;45;2015-01-10T05:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;47.43;2015-01-10T06:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;54.12;2015-01-10T07:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;60.69;2015-01-10T08:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;64.82;2015-01-10T09:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;67.69;2015-01-10T10:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;66.2;2015-01-10T11:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;65.01;2015-01-10T12:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;64.82;2015-01-10T13:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;62.43;2015-01-10T14:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;58.58;2015-01-10T15:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;58.34;2015-01-10T16:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;61.69;2015-01-10T17:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;63.89;2015-01-10T18:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;64.89;2015-01-10T19:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;64.34;2015-01-10T20:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;63.71;2015-01-10T21:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;59.33;2015-01-10T22:00:00;;;;;;;
